,composer,measure,starttime,stoptime,duration,instrument,line,note,year,year_stop,year_x,,10,1,
0,Bach,1,1.5,2,0.5,organ,bass,c,11.5,12,11.25,,12.5,2,.5: 1.25
1,Bach,1,2,2.5,0.5,organ,bass,e,12,12.5,12.5,,15,3,2.5
2,Bach,1,2.5,3,0.5,organ,bass,c,12.5,13,13.75,,17.5,4,
3,Bach,1,3,3.5,0.5,organ,bass,g,13,13.5,15,,,,
4,Bach,1,3.5,4,0.5,organ,bass,b,13.5,14,16.25,,,,
5,Bach,1,4,4.5,0.5,organ,bass,c,14,14.5,17.5,,,,
6,Bach,1,4.5,5,0.5,organ,bass,d,14.5,15,18.75,,,,
7,Bach,1,2,3,1,organ,soprano,c,12,13,12.5,,,,
8,Bach,1,3,4,1,organ,soprano,b,13,14,15,,,,
9,Bach,1,4,5,1,organ,soprano,a,14,15,17.5,,,,
10,Bach,2,1,2,1,organ,soprano,b,21,22,20,,,,
11,Bach,2,2,3,1,organ,soprano,g,22,23,22.5,,,,
12,Bach,2,3,4,1,organ,soprano,a,23,24,25,,,,
13,Bach,2,4,5,1,organ,soprano,b,24,25,27.5,,,,
14,Bach,3,1,3,1,organ,soprano,c,31,33,30,,,,
15,Bach,2,1,1.5,0.5,organ,bass,g,21,21.5,20,,,,
16,Bach,2,1.5,2,0.5,organ,bass,g,21.5,22,21.25,,,,
17,Bach,2,2,2.5,0.5,organ,bass,c,22,22.5,22.5,,,,
18,Bach,2,2.5,3,0.5,organ,bass,bflat,22.5,23,23.75,,,,
19,Bach,2,3,3.5,0.5,organ,bass,a,23,23.5,25,,,,
20,Bach,2,3.5,4.5,1,organ,bass,f,23.5,24.5,26.25,,,,
21,Bach,2,4.5,5,0.5,organ,bass,e,24.5,25,28.75,,,,
22,Bach,2,2,3,1,organ,middle,e,22,23,22.5,,,,
23,Bach,2,3,4,1,organ,middle,f,23,24,25,,,,
24,Bach,2,4,5,1,organ,middle,g,24,25,27.5,,,,
25,Bach,3,1,2,1,organ,middle,f,31,32,30,,,,
26,Bach,3,2,3,1,organ,middle,a,32,33,32.5,,,,
27,Bach,3,3,4,1,organ,middle,g,33,34,35,,,,
28,Bach,3,4,5,1,organ,middle,f,34,35,37.5,,,,
29,Bach,4,1,3,2,organ,middle,e,41,43,40,,,,
30,Bach,3,1,1.5,0.5,organ,bass,a,31,31.5,30,,,,
31,Bach,3,1.5,2,0.5,organ,bass,a,31.5,32,31.25,,,,
32,Bach,3,2,2.5,0.5,organ,bass,g,32,32.5,32.5,,,,
33,Bach,3,2.5,3,0.5,organ,bass,f,32.5,33,33.75,,,,
34,Bach,3,3,3.5,0.5,organ,bass,e,33,33.5,35,,,,
35,Bach,3,3.5,4,0.5,organ,bass,c,33.5,34,36.25,,,,
36,Bach,3,4,4.5,0.5,organ,bass,d,34,34.5,37.5,,,,
37,Bach,3,4.5,5,0.5,organ,bass,b,34.5,35,38.75,,,,
38,Bach,4,1,1.5,0.5,organ,bass,c,41,41.5,40,,,,
39,Bach,4,1.5,2,0.5,organ,bass,d,41.5,42,41.25,,,,
40,Bach,4,2,2.5,0.5,organ,bass,e,42,42.5,42.5,,,,
41,Bach,4,2.5,3,0.5,organ,bass,c,42.5,43,43.75,,,,
42,Bach,4,3,3.5,0.5,organ,bass,a,43,43.5,45,,,,
43,Bach,4,3.5,4,0.5,organ,bass,b,43.5,44,46.25,,,,
44,Bach,4,4,4.5,0.5,organ,bass,c,44,44.5,47.5,,,,
45,Bach,4,4.5,5,0.5,organ,bass,a,44.5,45,48.75,,,,
46,Bach,4,2,3,1,organ,soprano,c,42,43,42.5,,,,
47,Bach,4,3,4,1,organ,soprano,c,43,44,45,,,,
48,Bach,4,4,5,1,organ,soprano,g,44,45,47.5,,,,
49,Stravinsky,1,2,3,1,oboe,soprano,c,12,13,12.5,,,,
50,Stravinsky,1,3,4,1,oboe,soprano,b,13,14,15,,,,
51,Stravinsky,1,4,5,1,oboe,soprano,a,14,15,17.5,,,,
52,Stravinsky,2,1,2,1,oboe,soprano,b,21,22,20,,,,
53,Stravinsky,2,2,3,1,oboe,soprano,g,22,23,22.5,,,,
54,Stravinsky,2,3,4,1,oboe,soprano,a,23,24,25,,,,
55,Stravinsky,2,4,5,1,oboe,soprano,b,24,25,27.5,,,,
56,Stravinsky,3,1,3,1,oboe,soprano,c,31,33,30,,,,
57,Stravinsky,4,2,3,1,oboe,soprano,c,42,43,42.5,,,,
58,Stravinsky,4,3,4,1,oboe,soprano,c,43,44,45,,,,
59,Stravinsky,4,4,5,1,oboe,soprano,g,44,45,47.5,,,,
60,Stravinsky,2,2,3,1,flute,middle,e,22,23,22.5,,,,
61,Stravinsky,2,3,4,1,flute,middle,f,23,24,25,,,,
62,Stravinsky,2,4,5,1,flute,middle,g,24,25,27.5,,,,
63,Stravinsky,3,1,2,1,flute,middle,f,31,32,30,,,,
64,Stravinsky,3,2,3,1,flute,middle,a,32,33,32.5,,,,
65,Stravinsky,3,3,4,1,flute,middle,g,33,34,35,,,,
66,Stravinsky,3,4,5,1,flute,middle,f,34,35,37.5,,,,
67,Stravinsky,4,1,3,2,flute,middle,e,41,43,40,,,,
68,Stravinsky,1,2,2.5,0.5,oboe_b,soprano,c,12,12.5,12.5,,,,
69,Stravinsky,1,3,3.5,0.5,oboe_b,soprano,b,13,13.5,15,,,,
